207,新龙门客栈,220725,8.5,嬉笑怒骂，调风动月。
208,步履不停,109458,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
209,源代码,463687,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
210,东京物语,61794,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
211,终结者2：审判日,166901,8.6,少见的超越首部的续集，动作片中的经典。
212,初恋这件小事,541485,8.3,黑小鸭速效美白记。
213,疯狂的石头,377821,8.3,中国版《两杆大烟枪》。
214,城市之光,54625,9.2,永远的小人物，伟大的卓别林。
215,绿里奇迹,125198,8.7,天使暂时离开。
216,爱在午夜降临前,139739,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
217,无耻混蛋,257069,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。
218,末路狂花,121430,8.7,没有了退路，只好飞向自由。
219,秒速5厘米,355678,8.3,青春就是放弃和怀念。
220,这个男人来自地球,213023,8.5,科幻真正的魅力不是视觉效果能取代的。
221,勇闯夺命岛,161997,8.6,类型片的极致。
222,E.T. 外星人,181241,8.5,生病的E.T.皮肤的颜色就像柿子饼。
223,变脸,243723,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
224,碧海蓝天,115940,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
225,彗星来的那一夜,224404,8.4,小成本大魅力。
97,摩登时代,117956,9.2,大时代中的人生，小人物的悲喜。
166,魂断蓝桥,148105,8.8,中国式内在的美国电影。
167,穿越时空的少女,216161,8.6,爱上未来的你。
168,冰川时代,325502,8.5,松鼠才是角儿。
169,我是山姆,127235,8.8,爱并不需要智商 。
170,猜火车,280556,8.5,不可猜的青春迷笛。
171,人工智能,224839,8.6,对爱的执着，可以超越一切。
172,头脑特工队,283489,8.7,愿我们都不用长大，每一座城堡都能永远存在。
173,被解救的姜戈,305087,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。
174,爆裂鼓手,281276,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
98,大鱼,303938,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
99,告白,411625,8.7,没有一人完全善，也没有一人完全恶。
100,一一,185653,9.0,我们都曾经是一一。
175,未麻的部屋,121253,8.9,好的剧本是，就算你猜到了结局也猜不到全部。
226,卡萨布兰卡,142438,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
227,黄金三镖客,61130,9.1,最棒的西部片。
228,发条橙,210442,8.5,我完全康复了。
229,聚焦,150969,8.8,新闻人的理性求真。
230,血钻,160254,8.6,每个美丽事物背后都是滴血的现实。
231,美国丽人,211542,8.5,每个人的内心都是深不可测的大海。
232,海盗电台,181852,8.6,生命不止，摇滚不死。
233,国王的演讲,388815,8.3,皇上无话儿。
234,非常嫌疑犯,138497,8.6,我不信仰上帝，但我敬畏上帝。
235,荒野生存,145691,8.6,出门必备：本草纲目。
236,黑鹰坠落,140452,8.6,还原真实而残酷的战争。
237,我爱你,70370,9.0,你要相信，这世上真的有爱存在，不管在什么年纪
238,英国病人,193415,8.5,In memory, love lives forever...
239,千钧一发,107070,8.7,一部能引人思考的科幻励志片。
240,遗愿清单,155852,8.5,用剩余不多的时间，去燃烧整个生命。
241,2001太空漫游,114942,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。
242,荒岛余生,159251,8.5,一个人的独角戏。
243,迁徙的鸟,56859,9.1,最美的飞翔。
244,勇士,97987,8.9,热血沸腾，相当完美的娱乐拳击大餐。
245,枪火,115903,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
246,燕尾蝶,116809,8.6,现实与童话交相辉映的旅程。
247,叫我第一名,122216,8.6,乐观比一切都有力量。
